target,scope,month,variant,K,radius,scatter,density_between,S_Dbw,status,zero_density_clusters,zero_over_zero_pairs,positive_over_zero_pairs
temporal_leiden_alpha70,temporal,2023-09-01,round14_zero_zero,10,0.09342629086006564,0.1856784393637466,,,undefined,4,5,1
temporal_leiden_alpha70,temporal,2023-09-01,round14_floor_one,10,0.09342629086006564,0.1856784393637466,0.03508771929824561,0.2207661586619922,finite,4,5,1
temporal_leiden_alpha70,temporal,2023-09-01,rms_radius_strict,10,0.29543987245917885,0.1856784393637466,0.2506843189291173,0.43636275829286386,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-09-01,rms_radius_floor_one,10,0.29543987245917885,0.1856784393637466,0.2506843189291173,0.43636275829286386,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-09-01,printed_outside_indicator,10,0.09342629086006564,0.1856784393637466,,,undefined,3,0,3
temporal_louvain_alpha70,temporal,2023-10-01,round14_strict,11,0.0847516188265159,0.16907519833315715,,,undefined,7,20,1
temporal_louvain_alpha70,temporal,2023-10-01,round14_zero_zero,11,0.0847516188265159,0.16907519833315715,,,undefined,7,20,1
temporal_louvain_alpha70,temporal,2023-10-01,round14_floor_one,11,0.0847516188265159,0.16907519833315715,0.09818181818181819,0.26725701651497535,finite,7,20,1
temporal_louvain_alpha70,temporal,2023-10-01,rms_radius_strict,11,0.28108932002277404,0.16907519833315715,0.22823553733675023,0.3973107356699074,finite,1,0,0
temporal_louvain_alpha70,temporal,2023-10-01,rms_radius_floor_one,11,0.28108932002277404,0.16907519833315715,0.22823553733675023,0.3973107356699074,finite,1,0,0
temporal_louvain_alpha70,temporal,2023-10-01,printed_outside_indicator,11,0.0847516188265159,0.16907519833315715,,,undefined,2,0,1
temporal_leiden_alpha70,temporal,2023-10-01,round14_strict,10,0.09379311112436275,0.1882491825752554,,,undefined,5,10,0
temporal_leiden_alpha70,temporal,2023-10-01,round14_zero_zero,10,0.09379311112436275,0.1882491825752554,0.026570048309178744,0.21481923088443416,finite,5,10,0
temporal_leiden_alpha70,temporal,2023-10-01,round14_floor_one,10,0.09379311112436275,0.1882491825752554,0.026570048309178744,0.21481923088443416,finite,5,10,0
temporal_leiden_alpha70,temporal,2023-10-01,rms_radius_strict,10,0.29659985998626265,0.1882491825752554,0.30258741930895927,0.4908366018842147,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-10-01,rms_radius_floor_one,10,0.29659985998626265,0.1882491825752554,0.30258741930895927,0.4908366018842147,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-10-01,printed_outside_indicator,10,0.09379311112436275,0.1882491825752554,,,undefined,2,0,1
temporal_louvain_alpha70,temporal,2023-11-01,round14_strict,11,0.08701596864889191,0.17506653800348623,,,undefined,7,20,1
temporal_louvain_alpha70,temporal,2023-11-01,round14_zero_zero,11,0.08701596864889191,0.17506653800348623,,,undefined,7,20,1
temporal_louvain_alpha70,temporal,2023-11-01,round14_floor_one,11,0.08701596864889191,0.17506653800348623,0.10519480519480519,0.28026134319829143,finite,7,20,1
temporal_louvain_alpha70,temporal,2023-11-01,rms_radius_strict,11,0.2885993187777032,0.17506653800348623,0.26409311494394355,0.43915965294742976,finite,1,0,0
temporal_louvain_alpha70,temporal,2023-11-01,rms_radius_floor_one,11,0.2885993187777032,0.17506653800348623,0.26409311494394355,0.43915965294742976,finite,1,0,0
temporal_louvain_alpha70,temporal,2023-11-01,printed_outside_indicator,11,0.08701596864889191,0.17506653800348623,1.2748937973530095,1.4499603353564956,finite,1,0,0
temporal_leiden_alpha70,temporal,2023-11-01,round14_strict,9,0.10027061244150648,0.19019644046502757,,,undefined,3,2,1
temporal_leiden_alpha70,temporal,2023-11-01,round14_zero_zero,9,0.10027061244150648,0.19019644046502757,,,undefined,3,2,1
temporal_leiden_alpha70,temporal,2023-11-01,round14_floor_one,9,0.10027061244150648,0.19019644046502757,0.07291666666666667,0.2631131071316942,finite,3,2,1
temporal_leiden_alpha70,temporal,2023-11-01,rms_radius_strict,9,0.30081183732451944,0.19019644046502757,0.3497386584766002,0.5399350989416277,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-11-01,rms_radius_floor_one,9,0.30081183732451944,0.19019644046502757,0.3497386584766002,0.5399350989416277,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-11-01,printed_outside_indicator,9,0.10027061244150648,0.19019644046502757,,,undefined,2,0,1
temporal_louvain_alpha70,temporal,2023-12-01,round14_strict,11,0.08778371236802317,0.17511773639531983,,,undefined,8,23,5
temporal_louvain_alpha70,temporal,2023-12-01,round14_zero_zero,11,0.08778371236802317,0.17511773639531983,,,undefined,8,23,5
temporal_louvain_alpha70,temporal,2023-12-01,round14_floor_one,11,0.08778371236802317,0.17511773639531983,0.15227272727272728,0.32739046366804714,finite,8,23,5
temporal_louvain_alpha70,temporal,2023-12-01,rms_radius_strict,11,0.29114563662921356,0.17511773639531983,0.2649704263346622,0.4400881627299821,finite,1,0,0
temporal_louvain_alpha70,temporal,2023-12-01,rms_radius_floor_one,11,0.29114563662921356,0.17511773639531983,0.2649704263346622,0.4400881627299821,finite,1,0,0
temporal_louvain_alpha70,temporal,2023-12-01,printed_outside_indicator,11,0.08778371236802317,0.17511773639531983,1.3274384412820046,1.5025561776773244,finite,1,0,0
temporal_leiden_alpha70,temporal,2023-12-01,round14_strict,9,0.10206181079779018,0.19367725068356034,,,undefined,3,3,0
temporal_leiden_alpha70,temporal,2023-12-01,round14_zero_zero,9,0.10206181079779018,0.19367725068356034,0.15620915032679739,0.34988640101035773,finite,3,3,0
temporal_leiden_alpha70,temporal,2023-12-01,round14_floor_one,9,0.10206181079779018,0.19367725068356034,0.15620915032679739,0.34988640101035773,finite,3,3,0
temporal_leiden_alpha70,temporal,2023-12-01,rms_radius_strict,9,0.30618543239337054,0.19367725068356034,0.3923491310706758,0.5860263817542362,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-12-01,rms_radius_floor_one,9,0.30618543239337054,0.19367725068356034,0.3923491310706758,0.5860263817542362,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-12-01,printed_outside_indicator,9,0.10206181079779018,0.19367725068356034,,,undefined,2,0,1
temporal_louvain_alpha70,temporal,2024-01-01,round14_strict,12,0.08335262973341678,0.17051852269517706,,,undefined,9,34,2
temporal_louvain_alpha70,temporal,2024-01-01,round14_zero_zero,12,0.08335262973341678,0.17051852269517706,,,undefined,9,34,2
temporal_louvain_alpha70,temporal,2024-01-01,round14_floor_one,12,0.08335262973341678,0.17051852269517706,0.09388528138528138,0.26440380408045844,finite,9,34,2
temporal_louvain_alpha70,temporal,2024-01-01,rms_radius_strict,12,0.2887419792855083,0.17051852269517706,,,undefined,2,1,0
temporal_louvain_alpha70,temporal,2024-01-01,rms_radius_floor_one,12,0.2887419792855083,0.17051852269517706,0.29403828600836523,0.4645568087035423,finite,2,1,0
temporal_louvain_alpha70,temporal,2024-01-01,printed_outside_indicator,12,0.08335262973341678,0.17051852269517706,1.3456121470494053,1.5161306697445824,finite,1,0,0
