mode,scope,group,metric,n,mean,median,SD,min,max,q05,q10,q25,q75,q90,q95
optimizer_only,profiles,D,precision,20,0.5067043877738279,0.44977162791534053,0.23604536281588945,0.2459016393442623,1.0,0.2917068466730955,0.30049610205528,0.343282014888625,0.5282499376610423,0.9467606209150327,0.9751633986928104
optimizer_only,profiles,D,Jaccard,20,0.50033222012882,0.4457706302105412,0.2294776487028102,0.24469820554649266,1.0,0.2900126880551024,0.2987008439261827,0.343282014888625,0.5275157232704403,0.9337933474876151,0.9515923566878981
optimizer_only,profiles,D,within_pair_coassignment,20,0.9686618507051943,0.9740282077743379,0.04256947564794479,0.8114895080839353,1.0,0.9301169590643275,0.9472738218094255,0.9613003095975232,1.0,1.0,1.0
optimizer_only,profiles,E,retention,20,0.8787634408602149,0.9059139784946236,0.1547679029922084,0.5376344086021505,1.0,0.5478494623655914,0.5870967741935484,0.8870967741935484,0.9946236559139785,1.0,1.0
optimizer_only,profiles,E,precision,20,0.8316724151273964,0.9593814432989691,0.22234149484882945,0.21518987341772153,1.0,0.5018364167478092,0.5276538461538461,0.6469718086791257,0.9803675856307436,0.9902702702702703,1.0
optimizer_only,profiles,E,Jaccard,20,0.7525277151636971,0.8405314757481941,0.22219918326725,0.1827956989247312,1.0,0.3770975314251098,0.47954872089680944,0.6385088210926458,0.9099034876069313,0.9734322508398656,0.9750000000000001
optimizer_only,profiles,E,within_pair_coassignment,20,0.8206422551583842,0.8286253995931415,0.19656873933099012,0.4052891601278698,1.0,0.43063353676256905,0.5058820110433013,0.7941296134844522,0.989247311827957,1.0,1.0
optimizer_only,profiles,F,retention,20,0.7732415902140672,0.7844036697247707,0.19863996332990433,0.45871559633027525,1.0,0.4819571865443425,0.5107033639143731,0.562691131498471,0.9617737003058104,0.9767584097859328,0.9883792048929664
optimizer_only,profiles,F,precision,20,0.6029987139157686,0.5972052013404622,0.20860903051340837,0.15082824760244115,1.0,0.25427752349123317,0.43420007032348806,0.4965055479818461,0.757553687001727,0.8372036729549686,0.9596525096525097
optimizer_only,profiles,F,Jaccard,20,0.530892698428192,0.512964466720802,0.22408083963148404,0.13297463489623368,1.0,0.21321849918667213,0.2944714587737844,0.34839190576274504,0.7359280418962116,0.7691261838354737,0.8148101265822786
optimizer_only,profiles,F,within_pair_coassignment,20,0.7021322301645373,0.643027335322039,0.22112767197010424,0.38753494305922964,1.0,0.4188148439991745,0.42535787321063395,0.495046997242078,0.9254094669893622,0.954272902947412,0.976883172923585
